"","Time","Category","Index_Region","Index_Estimate","Index_SD","Date","Year","Season","YearGroup"
"261",86,1,"Canada",3085369.28299409,563567.30507149,86-05-30,2018,"Fall",29
"262",87,1,"All",3206348.41745718,545872.701711169,87-07-24,2019,"Spring",30
"263",87,1,"USA",133042.050772698,31569.6333877531,87-05-23,2019,"Spring",30
"264",87,1,"Canada",3073306.36668449,540933.516083673,87-06-06,2019,"Spring",30
"265",88,1,"All",2416106.76495702,419379.93578928,88-06-06,2019,"Summer",30
"266",88,1,"USA",136695.997974825,40162.7009907968,88-07-06,2019,"Summer",30
"267",88,1,"Canada",2279410.7669822,407753.116209701,88-06-22,2019,"Summer",30
"268",89,1,"All",3185691.17815019,583165.151708253,89-05-11,2019,"Fall",30
"269",89,1,"USA",118621.016316104,32967.4500212809,89-06-24,2019,"Fall",30
"270",89,1,"Canada",3067070.16183408,576314.525655445,89-07-08,2019,"Fall",30
"271",90,1,"All",3556227.62638078,693798.537352754,91-05-07,2020,"Summer",31
"272",90,1,"USA",177156.810968831,54519.737097186,91-07-20,2020,"Summer",31
"273",90,1,"Canada",3379070.81541195,677566.167762638,91-06-16,2020,"Summer",31
"274",91,1,"All",2827944.13265366,610839.59981938,90-05-24,2020,"Spring",31
"275",91,1,"USA",146647.607502621,49701.9231744137,90-07-30,2020,"Spring",31
"276",91,1,"Canada",2681296.52515104,590855.971945745,90-06-18,2020,"Spring",31
"277",92,1,"All",3211935.82049624,705462.309577988,92-05-05,2020,"Fall",31
"278",92,1,"USA",137080.260041019,48145.6829652052,92-06-29,2020,"Fall",31
"279",92,1,"Canada",3074855.56045522,687406.841734425,92-07-13,2020,"Fall",31
"280",93,1,"All",2851077.52592987,640951.204732759,94-07-20,2021,"Summer",32
"281",93,1,"USA",161041.074251417,53212.9477090857,94-05-30,2021,"Summer",32
"282",93,1,"Canada",2690036.45167845,617792.915971159,94-07-29,2021,"Summer",32
"283",94,1,"All",3804309.07446794,998658.959034211,93-07-09,2021,"Spring",32
"284",94,1,"USA",145822.76390224,54228.0724899503,93-05-14,2021,"Spring",32
"285",94,1,"Canada",3658486.3105657,975220.309174461,93-05-22,2021,"Spring",32
"286",95,1,"All",2850701.05522246,704876.623769165,95-06-22,2021,"Fall",32
"287",95,1,"USA",137238.981585787,51644.0699120842,95-07-26,2021,"Fall",32
"288",95,1,"Canada",2713462.07363668,681978.460881767,95-07-22,2021,"Fall",32
"289",96,1,"All",3192732.56535351,811199.244621343,97-07-19,2022,"Summer",33
"290",96,1,"USA",157082.349769923,56215.3037598038,97-06-21,2022,"Summer",33
"291",96,1,"Canada",3035650.21558358,782834.154403625,97-07-20,2022,"Summer",33
"292",97,1,"All",3650326.3735545,1025673.58721522,96-05-15,2022,"Spring",33
"293",97,1,"USA",147069.830185427,57726.6412884657,96-06-24,2022,"Spring",33
"294",97,1,"Canada",3503256.54336908,996810.142080297,96-06-21,2022,"Spring",33
"295",98,1,"All",3308936.18408677,932499.535339407,98-06-03,2022,"Fall",33
"296",98,1,"USA",131194.862768278,53564.4269046031,98-06-24,2022,"Fall",33
"297",98,1,"Canada",3177741.3213185,906833.730630323,98-05-11,2022,"Fall",33
"298",99,1,"All",3313348.67072004,923487.887482566,99-06-25,2023,"Spring",34
"299",99,1,"USA",171357.356148793,67719.7070927072,99-05-28,2023,"Spring",34
"300",99,1,"Canada",3141991.31457124,886329.467375992,99-07-18,2023,"Spring",34
"301",100,1,"All",2798628.1876748,823118.675680028,100-07-01,2023,"Summer",34
"302",100,1,"USA",142376.076426886,59695.6022515794,100-05-01,2023,"Summer",34
"303",100,1,"Canada",2656252.11124792,789231.528583245,100-05-16,2023,"Summer",34
"304",101,1,"All",2911807.55547227,874318.386313868,101-07-26,2023,"Fall",34
"305",101,1,"USA",136028.858489706,58536.9379736523,101-05-28,2023,"Fall",34
"306",101,1,"Canada",2775778.69698256,843114.403344735,101-07-01,2023,"Fall",34
